text,label
100 खाकोई हो 70 करोड छाती थोकेर भन्छु   किनकी खाली पुस्ती गर पुस्ती गर भन्छ,0
70 करोडको दम्ब अझै हेर्नु pouting_facepouting_facepouting_facepouting_face कुन नेपाली जनताको कुरा तिमीहरूको भुस्सेहरु नेपाली जनताहरु होइन,0
अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु पर्ने साला गाेरू,0
हिजो दुइ तिहाइ को घमण्ड गर्नेको बाहिरिय पछीको रोदन हो  बिचरा यो उखाने पार्टी ले केहि गर्नु सकेन अहिले अरुले गर्दछु भन्दा रोक्ने सहयोग नगर्ने अनि कसरी हुनछ देशमा बिकास  अहिले अाएर ठिक लाग्यो सहि हो धमला सर ,0
यो देस बाट सम्सोदिय ब्यबस्था नै खारेज गर्नु जरुरी छ  हैन भने देस को हालत सधै यस्तै रहन्छ ,0
नैतिकता हराएको मान्छे,0
जसले जे भनोस गोकुले काका राम्रो नेता हुन्,1
रिसाउने मात्रै होइन कुट्न पर्ने हो यदि घोटाला नै गर्या भए कारबाही गरे भैगो नत्र बारम्बार टचर कस्ले सहन्छ,0
एक पटक गोकुल बास्कोटा र ज्ञानेन्द्र शाही बिच छलफल गर्नुपर्ने भो ऋषिजी,2
हाजिरी जवाफ मा आको होइन रिसि जि rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
माननीय ज्यु बोलिमा परिवर्तन हुनुपर्छ,1
mccल्याए भाे भन्ने हाेईन  mccलाै लेराअाे त  भन्ने हाे देश र जनताकाे हित हुदैन भन्ने थाहा भाे mccकाम रैनछ भन्ने हाे खबरदार mcc पास हुन दिने हाेईन ,2
७०कराेड ताेपकाे सलामि छ बाेर्राे,1
यस्तै नेतालाई हो नि चोर आयो भन्ने गाउँ घर तिर,0
राजेन्द्र लिङ्देलले भने जस्तै,2
सत्तरी करोडौंको सन्दर्भमा ऋषि धमलाले सत्र पटक सोधिएको देखें धमलालाई मेरो प्रश्न हिजो सरकार बाहिर हुँदा बिरोध गर्नेहरु अहिले सरकारमा छ किन छानबिन नगरेको भनेर सोध्ने किकाण्डहरु किन छानबिन  नगरेको कहिले गर्ने भनेर र्याखर्याकी पर्ने कि,2
mcc नेपालीको  लागि रामराे हाे ,1
सहि हो कुरा,1
प्रचण्ड देशका रोग नै हुन ,0
के ७० करोड भन्छौ नालायक हो तेस्ता किलिप्स प्रसारण गर्ने पत्रुकार ऐले नेपाली काङ्ग्रेस को केन्द्रिय सदस्य भको छ साला सब चुतिया हुन,0
सबै भन्दा खराब नेता गोकुल हुन,0
सबै भन्दा पहिले  कानुन् मिचेर ७० करोड को भ्रष्टचार  गर्ने गोकुल बास्कोटा ले राजिनामा दिनु पर्छ,2
यो चोर लाई देख्यो त दिमाग तातियेर आउछ pouting_facepouting_facepouting_face,0
जबरजस्तीको कुरा गर्छ यार ,0
यस्ता वहियात नेतालाइ ल्यार किन समय खेर फाल्नु हुन्छ धमला जिछि छि,0
याे गाेकुलेलाई हराउनुपर्छ,0
जति सकिन्छ सफाई दिउँ ,1
प्रस्न गर्नै जान्दैन हो यो धमला जी ले,0
चोरको अन्तर्वार्ता आएछ ७० करोड चोर भुसडीgrinning_face_with_smiling_eyes,0
70 कारोड चोरको फेरि आगमन भएको रहेछ म त भन्छु गोकुल चोर देश छोड,0
बुडो गोरु जठौ  भीरमा जाऊ  थुक्क मेरो देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसक्यो ,0
जेजे भए पनि यो मान्छे को कुरा सुन्दा मजा आउछ ,1
क्या दिन्छ गोकुले ब्रो seenoevil_monkeyseenoevil_monkey,2
यो 70 करोड गोकुले ओलीले गर्दा खुप चुरी फुरी गरिरहेको छ लाज सरम नभएको,0
काभ्रेका बादसाह एमालेको ताकत गोकुल दाइको कुरा सुन्न मजा आउछ,1
७० करोड ले अलि बढी गफ दिन्छ,2
70 करोड भ्रष्टाचारि केपि को पुच्छर,0
जस्ले जति सुकै भनेनि गाेकुल बमस्काेटालाई मैले माने,1
होइन यो उखाने को छोरो हो भन्दैमा 70 करोड वाला गोकुले ले पनि हसाउनु पर्ने हो र हिजो उसको पार्टी हुदा सबै ठिक गरेको रे अहिले बाहिरिय पछि यो सरकार ले केहि गर्न सकेना रे कति हास्नु हो अब त तिमीहरु perfect thumbs_up भैसकेछ साप्ताहिक उखान टुक्का कारेक्रम चलाउदा हुन्छ all the best thumbs_upclapping_hands,2
जस्तो गुरु त्यस्तै चेला,2
गोकुल  जि ले गर्नु हुन्छ,2
मर्ने बेलामा लामो सास फेर्छ तेस्तै होला नि झुम्रेड,2
70 करोड पनि नक्कली हो भन न ,2
यो चोरलाइ किन घरीघरी अन्तरबार्ताको लागि बोलाउछौ धमला बुढा,2
७० करोडलाई बोल्न पनि लाज लाग्दै बा,0
७० करोड धिक्कार तिम्रो विचार मुर्दावाद,0
आमा को कुरा मामा संग नगर्नुस् न धमला जी,2
यो रिशी धमलालाई लाजै छैन यार 1000 पटक राजेन्द्र लिङ्देललाई ल्याउ न यार अरु नेताहरुलाई नल्याउ के यार दाइ,0
छिछिछिछि यस्तो नालायक लाई पनि के ल्याएकाे हाेला यार हेर्ने लाई पनि दिक्क  खै ७० कराेड कता गयाे  याे ले पनि के माधवकुमार शीत दाज्न मिल्छ ऋषि सरले पनि यस्तो लाई ल्याएर अाफ्नाे खुट्टामा अाफै बन्चरो हान्दै हुनुहुन्छ है,1
गोकुल को राज निति चहि कता,1
70 करोडको चुरीफुरी यत्रो ,1
सब थोक गाली गर्छन् अहीले भोली आन्द्रा जोडछन् मुलाहरु,1
गोकुल बा ले आज चाहि यो हावा धमला को सातो खायो,1
गोकुलेको पर्यायवाची सत्तरी करोड rolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
मान्छे कोल्याप्स गदिनु परो,0
यो गाउँको ठिट्टो म,2
दलाल भगाउ देश बचाउ,0
70करोड त बाहिर आयो अझ यिनले कति खायो होला,2
यो नालायक ७० करोड कता बाट आयो,0
यो भतुवा 70 करोडलाई किन बेला बेला मा बोलाउछन मिडिया मा,0
सहि कुरा,0
मलाई पनि चाईयो बोरा बोरा पैसा rolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
ए मा ले को चुनाव चिन्न्ह गोकुल बास्कोटा,2
70 करोडले ठुलो ठुलो कुरो गर्दै छ त,2
चोरै हो ,0
भरष्ट चारिका खलक हरु कति चुनाब चुनाब भनेको हो,0
डलर सन्चितित 70 मा भा छ,2
हेरौला रे grinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesक्मेदी च्याम्पियन को जज मनोज सर ले यो सुनेर कमेन्ट गर्नु भोकरोड 70 करोड त्यस पछि मेरो जो चोर उसैको ठुलो सोरइनि भन्दा ठुलो चोर को होला लाज सरम भन्ने छैन अझ ठुलो कुरा गर्छ जनताले मलाइ के भन्छ्न भन्ने पनि नहुनेgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesचुनाब जित्ने रे थु,2
स्वदेशी बिदेसी छदमबेसी न सकिने भयो कडा,2
70 carod खाएर ठूलो कुरा गर्छ,2
भ्रष्टाचारि डाका,0
70 करोड डाका काई को,0
नक्कली टेप face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,2
जो चोर उसैको ठुलो सोर चुतिया ७० करोड,0
बोल्न चै निडर नेता हो गोकुल बास्कोटा ज्यु ,2
फेरि यसको बर्वरोट सुरु भयो smiling_face_with_open_mouth__cold_sweatsmiling_face_with_open_mouth__cold_sweatsmiling_face_with_open_mouth__cold_sweatsmiling_face_with_open_mouth__cold_sweatsmiling_face_with_open_mouth__cold_sweat,0
70 करोड वाला अझ कति चुरिफुरी गर्छ थुक्क,2
७० करोड बाडौ न सोल्टि,2
रा प्र पा संग सह यात्रा गर्छ एमाले ले,2
70 पछि अरु कति हो अब केही समय रोकिएकोमा किन रिसाउनु हुन्छ नेता ज्यु,2
चोर आयो ,0
लाज सरम छैन चोर लाई,0
गकुल 70  खरब चोर हो,0
यो गोकुले को दिमागमा केही समस्या छ जस्तो छ,2
चोर डाका,0
थूक्क यस्ता खुराफाती  खड्केको  हलिहरु लाइ पनि मिडियामा स्थान दिने कोहि नपाएर    खड्केको  हलि  प्रतिगामीको मतियार भएर क्रान्तिकारीसँग जोरी नखोज्,0
तामाङ,2
जनजाति जस्ता अहिलेसम्म दमनमा परेकाहरुलाइ कोटा छुटाउदा गाली गर्नेहरुले क्षमता नभएको मान्छे आउछन् रे तिमीहरूको नियम र कानुनले यस्तै क्षमता भएको मान्छे ल्याउछन,2
पागलपना,2
सन्सार कै पहिलो नकचरो ७० करोड प्रमाण सहित आउदा पनि यति धेरै घमण्ड  भ्रष्ट लाई के सजाय हुनुपर्छ भन्नुस साथी हो ,0
म पनि dislike गर्न मात्र आकी हुं,0
ल हेर यस्को दम्भ,2
यो फटाहा लाई बोलाएर के छलफल गरेको होला,0
हेहेहे पागल साले 70 करोड मुजि यस्लाइ भेट्न् पाए,0
७० करोड बास्कोटा,2
बुढाले नि उखान टुक्का दिने रैछ,2
लाजपचेको ७० करोड,0
लाटा गाउको गाडा तन्नेरी नेता हरु,2
यिनै अनुहार अघि सारे एमाले पत्तासाफ निश्चित छ,2
70 करोड कम भयो ,2
मेरो खातामा एक बोरा हाल्दिनुसत गोकुले चोर,0
गोकुल बास्कोटा ले सिधा एन्सर दिन्छ अरु नेता जस्तो चिप्लो धस्दैन तेसैले मन पर्छ,1
70 करोडको मुसो,0
नेताहरु भ्रष्टाचार गर्छन जनताको छोराछोरी बिदेशमा रुदै बस्नु परेको छ नेताहचै खान्छन,0
70 डाका,0
बो लकड  ओलीको लकड गोकुल जी,2
यो मुजि 70 करोड लाई किन ल्याउनु हो मुजि धमला,0
70 होइन अब ब्याज सहित 75पुगि सक्यो हो,2
तेरिमा ७०,0
आज सम्म एमाले को सरकार भको भए लालपुर्जा पाईन्थ्यो होला गठबंधन सरकार ले डुबायो,2
यस कि मा डाका चोर फटाहा गोक्कुले,0
सत्तरी करोडका एक्ला मालिक गोप्ले काजि ज्यु लाई सत्तरी पटक जदौ गर्दछुrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
काभेली जनता को ढुकढुकी आदरणीय ७० करोड गाई को अनुहार परेको गोरु ,2
यो रिखी धमलाले सुर्जे र गोकुले बाहेक अरु गेस्ट पाउदैन,2
अब को चुनाव मा यो गु बास्कोटालाई काभ्रेली जनताले भोट दिएर जिताए भने काभ्रेको जिल्लाको 100 वर्ष सम्म विकास हुँदैन,0
अनलाइन मनोरञ्जन,1
यस्ता नेता त पालेको छ केपि ओली ले,2
एमाले लाई यस्तै नेता भएर अब अर्को चुनावमा 50 सिट पनि आउदैन गफ मात्रै ठुलो गर्ने हो यिनले काम छैन नेपालका चोर नेताहरुको जनताको नाममा राजनीति गर्न छोडे हुन्छ अब जनता बुझ्ने भैसके चुनावमा एक एक हिसाब हुन्छ केपिको छोरो भएर हो जोगाको नत्र अरु भएको भए 70 करोड कान्डमा जरुर जेल जान्थे,0
70 कुमार,2
चुनाव मा माकुनेको हालत के हुन्छ जन्तालाइ राम्रो थाछ १७000को त कुरानै नगरुम,2
तेरो बाउ केपि को बिर्ता हो ठग अब त लाठा खानि हो,0
सहि तर्क गोकुल जि ,1
माधब कुमारले चुनावजितेकाहुन् भने अब जितेर देखाउनु पर्याे ऋषि जिपत्रकार जि सहि विश्लेषण गर्न तपाइलाइ केले छेकेकाे छखरखजना,2
एमाले को कारण ले देस सकिने भयो  loudly_crying_faceloudly_crying_face,0
विदेशीको चम्चा,0
yo ७९ करोड आयो फेरि आयो घ म डी,2
हैन यो मान्छेलाइ किन जैल मा नकोचेको,2
७० करोड भ्रस्टाचार गर्नेको अन्तर्वार्ता के सुनिरहनु,2
गोकुले लाई बोल्नु किना सरम लाग्दैन 70 करोड भ्रष्टाचार कमिसन कान्ड प्रस्ट छ,0
सहि र हकि मानछे लागछ,2
सितल बङुर फार्म,2
पाध्छ अाज पनि   70 कराेड,2
70 करोड आवाज ल्याउनु बाहिरिनु कानुन सम्मत अनि चाहिँ माधब नेपाल कानुन बिपरित गरे के हो यो पारा फेरि म माधब नेपालको झोले हैन है झोले हरु,2
आउलास भोट माग्न भ्रस्टचारी  3431 बाट भ्रस्टचारीको कुरो सुरु गर्छ धमलाले,0
हेप्नि काेल्याप्स लाई पनि 70 कराेड ले जिन्दगी भर सताई रहने भयाेrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
70 करोड आधा आधा गरुम काका म कति बिदेश मा दुख गर्नु तपाई लाइ साथ दिन लाउछु सेटिङ मिलाउदै गर्नु म अझै समर्थन ल्याउछु नि उनिहरुलाइ नि भाग दिनु पर्यो नि,2
यो चोरलाई झेल कहिले कोच्ने हो,0
नेपाली मन,2
लाज नभएको  पागल चोर भर्ता चाहिँ खाने तर सम्सद बध गर्ने  अझै लोकतन्त्र  को कुरा गर्ने,0
सबै भन्दा पहिला ७०कोरोड बेक्तिले राजीनामा दिनुपर्छ एमालेलाई राम्रो बनाउनको लागि एमालेमा राम्रा मान्छेहरू पनि धेरै छन् यस्ता ,2
भष्ट्रचारीनेतालाई तुरुन्तै बर्खास्त गर्नुपर्छ,0
ऋषि धमला काङ्ग्रेसको मान्छे भएरहाेला खालि शेरबहादुर काे मात्र कुरा गर्छन्,2
रिसि धमला काईते पत्रकार भयो खालि प्रचन्ड र माकुनेको पक्षमा मात्र बोल्छपत्रकारत जनताको पक्षमा हुनुपर्छनि,2
खरो र प्रष्ट ठेट कुरो गर्ने संकाहा नेता गकुल बास्कोटा,2
यस्लाइ देश निकाला गर्न्नुपर्छ,0
नन्द ओलि गाउले,2
७० करोडको मालिक लाई कस्तो कस्तो कमेन्ट् आएको छ भनेर हेर्न आउने को को हुनुहुन्छ ,2
अहिले आफुले फेरि 70 करोड झ्वाम पार्न नपाएर रिसाउदै छ भतुवा,0
अलि राम्रो मान्छेहरुलाई लिएर interviwer गनुहोला,1
यो रिशी धमला लाई लाज नै छैन किन यस्ता खोका नेतालाई बोलाउछन भन्या के,0
मैले कति भनौ के भन्या किसान मजदुरलाई ल्याउनुस के,2
भ्रस्टाचार नेतहारुलाई किन ल्याउनु अनि किन सोद्नु 70 करोड भनेर न सोद्नेलाई लाज न गर्नेलाई लाज,0
कुरा सहि गर्नुभयो,1
दिमाक तातेर आउछ भन्या यसको कुरा सुन्दा ,2
नेपाली राजनीतिको हक्की नेता गोकुल बास्कोटा  रहेछ भन्ने कुरा थाहा भयो हैखुलम खुल्ला  च्यालेन्ज गर्दा पनि किन छानवीन नगर्या होला सरकार,2
याे चाेरलाई के थाहा प्रचण्डले गर्दा खुलेआम सबैकाे बिराेध गर्नपाकाे छु भनेर,2
छि छि छि अरु कोहि नभएको ले यहि चोर लाई किन देख्नु परो यस्लाइ त जेल मै कोच्नु परो 70 70 70 70 70 70 सातै चोटि 70 चोर,0
हिजो एमाले राजनीति मा हिरो थ्यो अब विस्तार मा खस्किदैछ किनकि एमालेको प्रमुख केपि स्वमं आफ्नो सत्ता को लागि जे जस्तो रणनीतिज्ञ योजना अपनाउन सक्ने रहेछ यो कायर देशद्रोही केपि आज mcc पक्ष मा ओकालत र द्रुष्ठ योजना परिकल्पना गर्दैछ,2
केपी ओलि को भफादार कु,2
याे गाेकुले खाते भ्रष्टाचारी लाई बाेल्न पनि लाज मान्दैनसंसदमा हल्ला गरेर तलब भत्ता खान्छजनताकाे पसिना खान्छकरु जनताकाे उहीँ के के खानु नि,0
केपि डाकाले याे गुखानेलाइ 70 कराेड घुस खान दियाे सम्सद चाहिदैन भनेर 2 2 पटक सम्सद बिघठन गर्याे अनि बाेल्न याे डाकालाइ लाज लाग्दैनअाेलिवेसनमा पर्त्यक ब्यक्तिलाई 3000 हजारका दरले पैसा दियर खान र चितवन घुम्न र हेर्न गयका मान्छे मुला गु खाने,0
जस्ले जेसुकै भनेनी गोकुल कम्रेड को बोलि मा दम छ raised_fistraised_fistraised_fistraised_fistraised_fist,1
ऋषि धमलाको पत्रकारिता सकियो जस्तो लाग्छ गठवन्धनको कार्यकर्ता जसरी वकालत गर्न थालेको देखिन्छsmiling_face_with_open_mouth__closed_eyessmiling_face_with_open_mouth__closed_eyessmiling_face_with_open_mouth__closed_eyes,0
तेरो बाउ ओलिले त संविधानमै नभाको 2  चोटि सानसाद विघटन  गरेर  लोकत्रन्त धोस्त पार्न खोज्ने अपराधी हैन ,0
kp को पालामा पहिला पहिला त खुब खेदो खन्थ्यो त खोई विकास गर्या भनेर त्यो विकास नदेख्ने आँखाले ऋषिको अनि अहिले को सरकारले के गर्यो त खोई  अहिले जताततै धूलो अनि कच्ची सडक omg पहिला त एउटा खाल्डो देख्न नहुने सामाजिक सञ्जाल मा खुब देखिन्थ्यो त अहिले खोई त बोल्या धमला jiiiiiiiiiii  खुडेले सुसल्ने हाम्रो देश के भन्ने यस्तालाई ,2
बोलीमा दम छ हाम्रो गोकुलबाको ,1
ए ऋषि दा यो मुजी भ्रष्टलाई प्राइम टेलिभिजनमा किन ल्याउनु हुन्छ ,0
backhand_index_pointing_right एमाले मुर्दावाद angry_faceangry_faceangry_face,2
गोकुल बास्कोटा दि लेजेन्डsmiling_face_with_open_mouth__closed_eyes,1
सफा मन का गोकुल जी सलाम raised_fistraised_fistraised_fistनेकपा एमाले जिन्दावाद raised_fistraised_fistsunsunsunsun,1
यो भ्रस्टाचारि लाई किन येति घमण्ड  ७० करोड को पर्दाफास हुदा नि येति धेरै आत्मबल्pouting_face,0
गोकुले   भन्न बितिकै ७० करोड को मात्र  याद आउँछ७० करोड  ७० करोड,2
backhand_index_pointing_right ७० करोडको अझै कति धेरै चुरिफुरी छ थुक्क हाम्रो देशका नैतिकता नभका चोर नेताहरू angry_faceangry_face,0
किन ल्याको यसलाई  सत्तरी करोडको अनुहार देख्न पनि मन छैन,0
जसले जे सुकै भनेपनि गोकुल बास्कोटा  काभ्रेको बाद्साह हुनraised_fistraised_fistraised_fist,1
यो मान्छेको थोप्डा देख्यो कि खोपडी गरम हुने म मात्र होला कि के हो,0
यस्ता भ्रष्टहरुलाई रोजेर पठाउने हामी जनता कस्ता भन्या,0
कति चुरिफुरी यस्को ,2
औषधिमा भ्रष्टाचार गर्ने यो महा पापी हो,0
म यहाँ dislike गर्न र यो मान्छेलाई बहिस्कार गर्न मात्र आएको हो येस्ता भ्रस्टाचारी नेताहरु सबैलाई सामाजिक संजालबाट सधैको लागि  बहिस्कार गरओ,0
गोकुलजीले भनिसके त  भ्रस्टाचार गरेको रहेछ भने भन्नेहरुकै सबथोक छ छानबिन गरि प्रमाणिात गरेर देखाए भइहाल्यो नि,2
के बोलेको होला यो 70 ले संसद विगठन नै यो अवस्थाको जड हो भन्ने किन बिर्सेकाे,2
स्वच्छ र असल राजनीति गरौं ,1
समृद्ध नेपाल निर्माण गरौं ,1
mcc अब पास हुन्छ त्यो पनि गठबन्धन जोगाउनको निमित्तangry_facepouting_face,2
भ्रष्टाचारिलाई किन अन्तरबार्ता लिएको होला,0
चोरले म चोर हुँ कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
विना स्वार्थ लोभ लालच सबै कम्युनिस्ट एकता जरुरी छ देशका लागि,1
गोकुल काकालाई मान्नैपर्छ बा ७० करोडको टेप नक्कली रे दिउसै रात पार्ने मान्छेहरुको नै बोलबाल छ देशमा कति लाजै नमानी भन्न सकेको हो भने,2
७० करोड चोर i आफु चोर होइन भने किन राजिनामा सुरुक्क देको त्  माग्ने बेलामा ७० करोड माग्ने चोर अईले आएर नकली भोइस हो रे i,0
नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले माथि उठ्ने होला,0
70 करोड कता कता लगानी गर्नु भयो जानकारी पाईन्छकी,2
यिनले  प्रश्न उठे पछी राजिनामा दियो रे नैतिकता देखायो साची नै यिनी सहि रहेछन् भने यिनका के पि ले नैतिक्ता बेचेकै रहेछ भन्ने कुरो यिनैले प्रमानित गरेछन्् ,2
धन्यवाद folded_hands,1
100 खाकोई हो 70 करोड छाती थोकेर भन्छु   किनकी खाली पुस्ती गर पुस्ती गर भन्छ,2
70 करोडको दम्ब अझै हेर्नु pouting_facepouting_facepouting_facepouting_face कुन नेपाली जनताको कुरा तिमीहरूको भुस्सेहरु नेपाली जनताहरु होइन,2
